day,scenario,total_unserved_energy_MWh,peak_load_shedding_MW
2025-04-08,base-ext - notwindy - extendable,0.012282845146881102,0.0005119800692996424
2025-10-06,base-ext - windvariability - extendable,0.002860137194342328,0.00011921903413368699
2025-10-26,base-ext - windy - extendable,8.480505050962868e-05,3.5352982415006546e-06
2025-04-08,base2 - notwindy - fixed,0.01614942320894268,0.0006731492092612312
2025-10-06,base2 - windvariability - fixed,0.01029200323569321,0.0004290138909334092
2025-10-26,base2 - windy - fixed,0.0014919297669744457,6.217826021220484e-05
2025-04-08,baseTP - notwindy - projects,0.011233056789986139,0.00046823133577536687
2025-10-06,baseTP - windvariability - projects,0.005589853770310978,0.00023302891100336525
2025-10-26,baseTP - windy - projects,0.00010932026248030826,4.5554502127987504e-06
2025-04-08,scenario-ext - notwindy - extendable + projects,0.003871173771612165,0.0001613626491404882
2025-10-06,scenario-ext - windvariability - extendable + projects,0.003224449777748743,0.0001344066392737329
2025-10-26,scenario-ext - windy - extendable + projects,2.9767614548369138e-05,1.2408189074493708e-06
2025-04-08,scenario2040-TP - notwindy - projects,1023.7338628653467,251.4906026497809
2025-10-06,scenario2040-TP - windvariability - projects,26935.808215195193,2313.7860425161934
2025-10-26,scenario2040-TP - windy - projects,0.0009710585549686697,4.0467477368595774e-05
2025-04-08,scenario2040-ext - notwindy - extendable,0.010398453091595563,0.00043352844384176307
2025-10-06,scenario2040-ext - windvariability - extendable,0.004549200887052413,0.00018974651771135268
2025-10-26,scenario2040-ext - windy - extendable,0.00011294205252676106,4.707747282003385e-06
2025-04-08,scenario2040-fixed - notwindy - fixed,1023.7423599126996,221.65134898403127
2025-10-06,scenario2040-fixed - windvariability - fixed,163261.76115220966,10839.236830540958
2025-10-26,scenario2040-fixed - windy - fixed,4503.151950422828,443.4800664677761
